"SurveyYear","Sex","SES","meanHFSS","seHFSS"
2008,"f","high",356.132185359745,16.3403212077389
2008,"f","low",329.214558502907,18.8616349422338
2008,"f","medium",328.750177518939,12.0478483760687
2008,"m","high",443.088326333333,20.3114923308425
2008,"m","low",467.015797715054,38.0824609953661
2008,"m","medium",407.255754350329,19.4031565497106
2009,"f","high",343.207152807882,13.348120688025
2009,"f","low",336.163636373874,23.889378698473
2009,"f","medium",344.334292828407,12.3659250721772
2009,"m","high",447.938118482906,22.1433483845596
2009,"m","low",469.98118030303,39.3860536845398
2009,"m","medium",408.619486744186,19.1053796106301
2010,"f","high",324.692867204301,12.7191939454137
2010,"f","low",298.557302934783,20.1736258941763
2010,"f","medium",351.614203851852,13.6981643083578
2010,"m","high",429.575519267516,20.9256273701898
2010,"m","low",385.712787916667,32.2445400532418
2010,"m","medium",421.469617873563,21.2081906989738
2011,"f","high",349.058056169528,13.0862066217381
2011,"f","low",347.30339530581,20.2129869634551
2011,"f","medium",353.50302068241,11.1619548899894
2011,"m","high",429.192603316062,20.1619819117752
2011,"m","low",427.408085915493,33.4117725422438
2011,"m","medium",443.243161786372,23.6839470758288
2012,"f","high",341.684222457557,15.6326000875054
2012,"f","low",318.873602910053,26.0856214995034
2012,"f","medium",360.439644909091,18.2445351532286
2012,"m","high",438.84383021164,24.6122153986784
2012,"m","low",427.225578468468,43.7494794708181
2012,"m","medium",418.859682557471,24.2119789298999
2013,"f","high",345.405393831361,18.4069323161565
2013,"f","low",354.200480348259,26.212784757311
2013,"f","medium",343.264333162602,13.1949867580967
2013,"m","high",442.185234240413,24.596826765558
2013,"m","low",435.377189166667,43.1546080198871
2013,"m","medium",430.985295643631,25.7493174881273
2014,"f","high",348.248837682119,17.9902107091702
2014,"f","low",308.831359869792,33.6155540309517
2014,"f","medium",359.17937641844,14.1441252210803
2014,"m","high",389.849228242857,21.3915513668832
2014,"m","low",437.922640860215,31.3450914914633
2014,"m","medium",397.161271475177,21.541495922353
2015,"f","high",323.72650884,14.2402373119806
2015,"f","low",329.774080685484,30.4714324404689
2015,"f","medium",327.588514097701,14.4844788581159
2015,"m","high",376.471581322222,18.8639086843433
2015,"m","low",415.740593333333,48.6342861223486
2015,"m","medium",405.810779821038,24.57225267968
2016,"f","high",310.727548521991,15.4380703879843
2016,"f","low",306.982513317308,37.2096747820238
2016,"f","medium",316.958552873563,15.9234145801181
2016,"m","high",368.389441527569,19.9686169401215
2016,"m","low",400.521794713542,44.8952955836695
2016,"m","medium",334.939671836508,21.5179252574959
2017,"f","high",335.443240132139,14.8090798709943
2017,"f","low",295.314288693827,30.3343674108193
2017,"f","medium",307.393407032507,19.2144844350293
2017,"m","high",378.042436209467,21.7426620899783
2017,"m","low",309.940546944444,44.7644099774627
2017,"m","medium",331.459507138095,22.4653299817431
2018,"f","high",333.899384583261,16.4812162232249
2018,"f","low",297.988591397287,25.4747589390819
2018,"f","medium",294.531321040741,14.7297370691861
2018,"m","high",383.16430407352,24.1157588922331
2018,"m","low",351.077026022059,33.2476149273075
2018,"m","medium",361.039801238475,22.4413433090467
