"year","PDno_optimalMale","PDyes_optimalMale","PDno_optimalFemale","PDyes_optimalFemale"
0,0.837535014005602,0.162464985994398,0.880248833592535,0.119751166407465
1,0.826330532212885,0.173669467787115,0.875583203732504,0.124416796267496
2,0.831932773109244,0.168067226890756,0.875583203732504,0.124416796267496
3,0.831932773109244,0.168067226890756,0.880248833592535,0.119751166407465
4,0.831932773109244,0.168067226890756,0.884914463452566,0.115085536547434
5,0.826330532212885,0.173669467787115,0.881804043545879,0.118195956454121
6,0.820728291316527,0.179271708683473,0.888024883359253,0.111975116640746
7,0.820728291316527,0.179271708683473,0.892690513219285,0.107309486780715
8,0.815126050420168,0.184873949579832,0.891135303265941,0.108864696734059
9,0.817927170868347,0.182072829131653,0.895800933125972,0.104199066874028
10,0.820728291316527,0.179271708683473,0.894245723172628,0.105754276827372
