tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734083.3789112044,988359.8353115662,156776.26027397267,239398.7150684932,76,209,72,27709.98356164384,93030.1424657534,36036.13424657533,74,222,347,24422.263013698626,75828.20821917806,139148.24383561648,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,0.548649782333948,0.3842337179280322,17,16,340,627,27.102239642928588,25.651552745763325,1,38,127,336,146,151,83,118,357,643,704056.4071615592,956302.8482738243,125962.86575342464,206400.98904109598,76,209,72,30314.994520547938,70106.87671232873,25540.994520547938,74,222,347,21327.597260273975,69118.62465753425,115954.76712328769,53084.0,52938.0,3747.0,10384.0,10152.0,100798.0,100908.0,5647.0,13791.0,13551.0
730,1000,0.14883921631342964,0.1280537046784401,0,7,357,636,26.744866587283365,25.386705910880575,1,39,145,355,145,137,66,112,357,643,683409.0621280667,929741.220808741,105648.14520547945,179940.81369863014,76,209,72,23869.21643835616,61264.071232876726,20514.85753424658,74,222,347,20076.317808219173,62486.391780821934,97378.104109589,58044.0,57849.0,4043.0,5214.0,5155.0,108156.0,106247.0,5623.0,7360.0,7309.0
1095,1000,0.08412251790704393,0.031531270453590096,2,0,355,643,26.421447780547417,25.1474856977929,1,40,158,379,144,123,54,101,357,643,678777.9634959492,924483.0162019206,101210.13972602737,174816.38904109588,76,209,72,21988.210958904107,59118.405479452034,20103.523287671233,74,222,347,19919.936986301364,60453.498630137015,94442.9534246575,59207.0,58922.0,3921.0,4115.0,4140.0,109278.0,107614.0,5682.0,6044.0,6077.0
1460,1000,0.0369645311905701,0.012581955735363894,1,0,356,643,26.102447081911677,24.904184787643462,1,35,174,403,136,115,46,90,357,643,679199.3845338986,922274.5680406007,101473.40273972605,173130.51780821913,76,209,72,22047.27397260274,59303.356164383564,20122.772602739722,74,222,347,19929.715068493144,58901.66301369863,94299.1397260273,59140.0,58845.0,4015.0,4186.0,4119.0,109839.0,107912.0,5703.0,5672.0,5569.0
1825,1000,0.016562244626014556,0.006097518761792926,0,0,357,643,25.830322012927095,24.697644943673865,1,36,191,424,129,106,36,77,357,643,679490.4918749114,922728.1315490027,101015.92054794524,173102.67123287678,76,209,72,21820.78904109589,59297.87945205476,19897.25205479452,74,222,347,19934.446575342456,59235.66301369864,93932.56164383558,59338.0,58925.0,3906.0,4018.0,4118.0,110122.0,107438.0,5755.0,5614.0,5766.0
2190,1000,0.003050322503898201,0.0034507078119499087,0,0,357,643,25.59265297800598,24.517458616107675,1,37,199,427,126,106,31,73,357,643,678285.5271704474,922745.5220483723,100987.80273972597,173363.79452054785,76,209,72,21546.926027397265,59229.32054794521,20211.55616438356,74,222,347,19810.712328767117,59472.77534246575,94080.30684931505,59344.0,58887.0,4066.0,3983.0,4025.0,109590.0,108051.0,5784.0,5573.0,5697.0
2555,1000,0.00242653834361116,0.0013114386811265328,0,0,357,643,25.403489590601435,24.352836255671768,1,37,211,443,120,100,25,63,357,643,677638.4724660787,922604.1238573152,100842.90684931504,173117.49863013686,76,209,72,21725.657534246577,59024.57260273974,20092.67671232877,74,222,347,19938.391780821923,58968.58904109591,94210.51780821921,59271.0,59046.0,3994.0,3899.0,4095.0,110071.0,107645.0,5663.0,5617.0,5699.0
2920,1000,0.002305318075334886,0.000614465000158151,0,0,357,643,25.25063048892168,24.206068894405522,2,36,221,467,113,79,21,61,357,643,678571.0515940363,922603.6051000298,101146.46849315063,173678.33698630138,76,209,72,21798.704109589038,59319.17260273973,20028.59178082192,74,222,347,20021.547945205475,59363.68219178079,94293.10684931508,59312.0,58748.0,4102.0,3995.0,4148.0,109596.0,107929.0,5699.0,5625.0,5846.0
3285,1000,0.001582395152740197,0.0012989800924468776,0,0,357,643,25.08309420169596,24.07869763708198,2,37,236,479,103,69,16,58,357,643,678475.2894337676,923627.0423818339,100797.33972602745,173819.67945205476,76,209,72,21653.745205479452,58987.147945205485,20156.44657534246,74,222,347,20120.353424657533,59120.701369862996,94578.62465753424,59603.0,58649.0,4016.0,4024.0,4013.0,109424.0,108051.0,5828.0,5701.0,5691.0
3650,1000,0.000741760350905814,0.002417128081869921,0,0,357,643,24.95533809812148,23.985458024081417,1,38,240,479,100,79,16,47,357,643,678489.9976546295,922756.7270878325,101014.89589041095,173959.12602739708,76,209,72,21662.2301369863,59171.45479452056,20181.210958904114,74,222,347,20257.47397260274,59445.73424657531,94255.91780821909,59601.0,58443.0,4113.0,4073.0,4075.0,109505.0,107792.0,5821.0,5689.0,5888.0
