tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734152.281564406,988630.6668951983,156955.44383561637,239206.8931506851,76,209,72,27735.53698630138,93063.99452054784,36155.91232876713,74,222,347,24476.62739726027,75724.98630136986,139005.27945205488,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.104917497917728,0.9027717333361941,37,47,320,596,27.15461217815269,25.58421397174295,1,38,131,349,139,136,86,120,357,643,715851.9949430533,961488.4222073328,138039.33150684927,211863.6575342469,76,209,72,33817.04383561644,75902.86849315067,28319.4191780822,74,222,347,21074.48219178082,70375.92054794518,120413.25479452046,49874.0,49959.0,4236.0,13196.0,13040.0,100464.0,99674.0,2878.0,15677.0,16002.0
730,1000,0.7085763464524854,0.5140069951135487,22,21,335,622,26.911039476475647,25.335191753580702,1,40,149,368,125,121,82,114,357,643,700675.4865703976,933654.3090842274,122916.12602739726,184853.3917808222,76,209,72,28153.191780821915,70192.17534246575,24570.758904109593,74,222,347,20240.939726027387,63622.73150684934,100989.7205479451,53647.0,53604.0,4372.0,9358.0,9324.0,108290.0,104966.0,2475.0,9479.0,9485.0
1095,1000,0.4736644049193144,0.3395812882627403,16,13,341,630,26.629119508317956,25.086478537629834,1,38,170,382,113,129,73,94,357,643,694954.6053160805,920739.6389857959,117033.15068493145,171507.9616438357,76,209,72,26088.61369863014,66834.48219178086,24110.05479452053,74,222,347,19008.09589041096,58565.59178082192,93934.27397260269,54825.0,55359.0,4485.0,7915.0,7721.0,111682.0,108017.0,2547.0,6245.0,6204.0
1460,1000,0.3339392769539892,0.2292121730191216,10,11,347,632,26.508855600901395,24.862248635348788,1,37,191,408,95,112,70,86,357,643,691173.2269118952,917104.6720090613,112739.36712328771,167708.75068493155,76,209,72,25066.128767123293,64475.6301369863,23197.60821917808,74,222,347,18309.4602739726,57009.884931506844,92389.40547945199,56210.0,55964.0,4574.0,6791.0,6766.0,112519.0,109153.0,2532.0,5325.0,5166.0
1825,1000,0.23534988694596462,0.17145525006037388,5,10,352,633,26.303169991008723,24.648143108663465,1,38,197,428,94,96,65,81,357,643,688676.4163363075,916877.9822853749,110796.84931506848,166546.0657534245,76,209,72,24729.13424657534,63878.40273972606,22189.312328767126,74,222,347,18145.586301369865,56401.44109589038,91999.03835616434,56787.0,56296.0,4531.0,6352.0,6339.0,112583.0,109601.0,2531.0,4992.0,4988.0
2190,1000,0.2064006783949333,0.11877216016687886,4,5,353,638,26.12667009376393,24.442258389486817,1,35,203,451,97,86,56,71,357,643,686058.5943357078,912393.7372580256,107788.4876712329,162513.1342465753,76,209,72,23717.493150684935,62853.91232876714,21217.082191780828,74,222,347,18237.12328767124,55614.74520547943,88661.26575342468,57438.0,57154.0,4699.0,5446.0,5568.0,113830.0,110313.0,2526.0,4019.0,4007.0
2555,1000,0.1578995410807398,0.0946332023148675,4,4,353,639,25.923795364071047,24.311895059688386,1,38,214,466,94,73,48,66,357,643,685066.5650301154,910057.3362908607,107170.41643835625,160751.75616438367,76,209,72,23727.690410958894,62250.608219178044,21192.117808219176,74,222,347,18115.813698630132,54958.701369862974,87677.24109589042,57573.0,57309.0,4649.0,5381.0,5393.0,114698.0,110239.0,2524.0,3535.0,3699.0
2920,1000,0.09153232925869663,0.05096936862876339,2,3,355,640,25.713584905588984,24.178634320923013,1,37,224,471,93,75,39,60,357,643,684015.8627666323,909518.666330824,106355.58082191779,160319.5726027398,76,209,72,22832.980821917812,61817.75616438353,21704.84383561643,74,222,347,18269.25753424658,54876.224657534236,87174.09041095882,57793.0,57543.0,4592.0,5215.0,5162.0,114834.0,110182.0,2704.0,3488.0,3487.0
3285,1000,0.06719530689834814,0.034071238727658125,1,2,356,641,25.47555653599167,24.059131877404084,1,36,234,481,90,72,32,54,357,643,683786.0021277659,908881.9935514732,106184.84109589044,158871.76712328766,76,209,72,22990.81917808219,61770.64383561639,21423.378082191783,74,222,347,18110.03561643835,55026.41917808225,85735.31232876715,57836.0,57544.0,4710.0,5094.0,5121.0,115041.0,110778.0,2534.0,3206.0,3136.0
3650,1000,0.0548434041256787,0.01726228656725535,1,1,356,642,25.291517615886313,23.9602447254889,0,37,235,488,99,70,23,48,357,643,682377.8310814678,907596.7683804317,105282.35616438361,157791.90958904088,76,209,72,22847.70684931508,61339.482191780815,21095.167123287672,74,222,347,18180.205479452055,54356.50684931508,85255.19726027398,58260.0,57502.0,4733.0,4805.0,5005.0,114618.0,112025.0,2673.0,2705.0,2674.0
