tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734097.102282215,988963.9395062057,156918.14520547932,239377.88219178075,76,209,72,27646.832876712324,93210.80547945206,36060.506849315076,74,222,347,24436.854794520546,75775.4767123288,139165.5506849316,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5820118290679213,1.5401041759982959,62,80,295,563,27.27671298499804,25.784216253115677,1,35,121,337,144,145,91,126,357,643,724648.2649108028,973369.0006790906,147194.42191780815,223615.5178082191,76,209,72,38003.032876712314,78845.61369863013,30345.77534246576,74,222,347,20350.78356164384,73211.85753424658,130052.87671232873,47754.0,47740.0,3951.0,15340.0,15520.0,97380.0,96957.0,2728.0,18964.0,18666.0
730,1000,1.5513387777279837,1.4585632939071078,60,80,297,563,27.286031253635613,25.738331470383777,1,35,126,339,134,145,96,124,357,643,724692.4415217176,972103.5862502009,146723.69863013705,221322.9561643835,76,209,72,37923.64109589041,78559.07945205484,30240.978082191785,74,222,347,20772.66849315069,73443.50410958902,127106.78356164396,47825.0,47948.0,3887.0,15149.0,15496.0,98801.0,96374.0,2406.0,19056.0,18058.0
1095,1000,1.5347860666479305,1.3916524448163996,60,77,297,566,27.326824541585253,25.710206439940894,1,35,127,341,131,144,98,123,357,643,724830.1147220074,970616.6667007493,146815.2657534245,220592.47945205486,76,209,72,38128.95616438358,78897.71780821915,29788.591780821913,74,222,347,21634.471232876713,74411.19726027396,124546.81095890398,47973.0,47665.0,3933.0,15199.0,15535.0,99521.0,96129.0,2304.0,18540.0,18201.0
1460,1000,1.529463404076218,1.3351521022210655,60,74,297,569,27.372669345864544,25.681472183531888,1,35,131,348,121,139,104,121,357,643,724078.0841757798,967423.7789111781,146429.5260273974,218797.92876712338,76,209,72,38038.68493150686,78761.82465753422,29629.01643835616,74,222,347,22315.953424657535,74474.82465753423,122007.15068493159,47841.0,47925.0,4155.0,15290.0,15094.0,99809.0,96658.0,2373.0,18226.0,17629.0
1825,1000,1.5317061996382892,1.2771557419244324,62,76,295,567,27.437897555271427,25.707669717400783,1,36,136,347,119,138,101,122,357,643,724033.1380994126,967344.7917485377,147339.6821917807,217990.9068493151,76,209,72,38674.11780821917,78482.93972602735,30182.62465753425,74,222,347,22916.13698630136,74490.10410958904,120584.66575342468,47640.0,47787.0,3902.0,15587.0,15389.0,99755.0,97142.0,2317.0,18062.0,17419.0
2190,1000,1.530335917128807,1.2290665517608137,64,72,293,571,27.489097514121653,25.705952021049224,1,37,139,354,119,127,98,125,357,643,725020.2226333909,967195.359661913,147999.4383561644,217237.68493150696,76,209,72,38010.14520547944,78934.86301369868,31054.430136986306,74,222,347,23213.408219178087,75059.88219178082,118964.39452054782,47657.0,47273.0,3922.0,15953.0,15500.0,100084.0,97105.0,2473.0,17673.0,17360.0
2555,1000,1.5542147868879315,1.2182488201978752,64,69,293,574,27.566666813114736,25.69682395050886,1,37,143,352,119,132,94,122,357,643,725633.0160366801,965410.6314454714,149309.21643835618,214483.75342465742,76,209,72,38113.14794520546,79924.53698630132,31271.531506849315,74,222,347,22790.805479452054,74599.24383561645,117093.70410958903,47319.0,47056.0,3813.0,16159.0,15958.0,100779.0,97947.0,2274.0,16962.0,16733.0
2920,1000,1.5677232353085415,1.18879717972464,66,70,291,573,27.666443045679557,25.754613207572632,1,37,142,365,122,118,92,123,357,643,727422.1168903869,963788.4131937865,149451.90410958897,214397.2465753426,76,209,72,38165.830136986304,79590.36164383561,31695.71232876712,74,222,347,23887.65479452054,73431.14794520548,117078.4438356165,47306.0,46998.0,3856.0,15989.0,16156.0,100919.0,97678.0,2373.0,17273.0,16452.0
3285,1000,1.5652404566631637,1.1551026399306192,65,67,292,576,27.806150151544458,25.790466791530125,1,37,150,368,114,115,92,123,357,643,728920.7518878733,962320.3955646132,150374.63287671245,212580.0657534249,76,209,72,38573.24657534245,80225.26027397257,31576.126027397248,74,222,347,24284.550684931506,73534.62191780817,114760.89315068496,46820.0,47107.0,4077.0,16095.0,16206.0,101417.0,97998.0,2477.0,16596.0,16207.0
3650,1000,1.5841897286380515,1.1525004627625826,64,68,293,575,27.909805978193464,25.864775838114436,1,36,152,379,113,105,91,123,357,643,725886.3555183549,961006.3004046925,148918.08219178085,211611.4356164387,76,209,72,37894.884931506844,80207.05753424656,30816.139726027403,74,222,347,24006.1205479452,73280.46849315063,114324.84657534235,47432.0,47062.0,3941.0,15912.0,15958.0,101835.0,97947.0,2372.0,16643.0,15898.0
