ID,age,Sex,nssec8,SES,ethgrp5,eth_new,bmival,TotalKcal_M_0,TotalKcal_SD_0,TotalKcal_M_1,TotalKcal_SD_1,desire_0.200,desire_201.500,desire_501.750,desire_751.1000,desire_1001.,location,external,restraint,emotional,automaticity,pbc,microsim.init.eatingstatus,habit.update.interval,autonomy,history_0.200,history_201.500,history_501.750,history_751.1000,history_1001.,PD
1,51,m,1,high,white,white,32.05691966,1320.00825,642.5488799,353.34775,194.7376364,0.175342466,0.539726027,0.254794521,0.02739726,0.002739726,GLondon,3.3,0.534782609,0.607692308,0.611111111,0.534782609,1,150,0.553706051,0.142465753,0.605479452,0.235616438,0.016438356,0,0.666666667
39,49,f,8,low,white,white,41.71858313,912.8617,97.26480806,769.6,69.41013975,0,0,0.391780822,0.608219178,0,GLondon,3.1,0.656521739,0.623076923,0.566666667,0.656521739,1,144,0.089073132,0,0,0.378082192,0.621917808,0,0.166666667
40,21,m,l15,low,white,white,25.99734502,1698.665,466.916812,293.0575,202.2295093,0.287671233,0.536986301,0.167123288,0.008219178,0,GLondon,2.5,0.586956522,0.192307692,0.433333333,0.586956522,1,90,0.530171568,0.252054795,0.57260274,0.161643836,0.01369863,0,0.333333333
41,17,f,1,high,white,white,23.30960731,914.70475,669.6498366,796.0265,313.9412491,0.046575342,0.167123288,0.205479452,0.221917808,0.35890411,GLondon,3.7,0.795652174,0.623076923,0.7,0.795652174,1,113,0.034166581,0.030136986,0.134246575,0.273972603,0.309589041,0.252054795,0.083333333
42,16,f,2,high,mixed,mixed/other,24.15250995,1102.844813,122.7504712,243.2715,210.8543371,0.309589041,0.550684932,0.120547945,0.019178082,0,GLondon,3,0.308695652,0.438461538,0.544444444,0.308695652,1,74,0.126839687,0.320547945,0.564383562,0.109589041,0.005479452,0,0.083333333
43,16,f,1,high,white,white,17.26851334,1279.411775,381.6314926,312.78,92.69701326,0.117808219,0.863013699,0.019178082,0,0,GLondon,2.8,0.37826087,0.207692308,0.5,0.37826087,1,87,0.242102932,0.123287671,0.852054795,0.024657534,0,0,0
44,80,f,4,medium,white,white,24.34319664,1138.0775,113.053067,1038.944,332.3230653,0,0.060273973,0.136986301,0.235616438,0.567123288,GLondon,2.3,0.552173913,0.115384615,0.388888889,0.552173913,1,102,0.091075665,0.005479452,0.038356164,0.131506849,0.235616438,0.589041096,0
45,18,f,2,high,white,white,32.68851528,937.103425,375.0265411,273.89,193.6044116,0.282191781,0.578082192,0.131506849,0.008219178,0,GLondon,3,0.62173913,0.407692308,0.544444444,0.62173913,1,138,0.232913645,0.252054795,0.602739726,0.136986301,0.008219178,0,0
46,43,m,3,medium,white,white,24.98820781,1229.3745,233.8902944,333.985,184.7196314,0.208219178,0.6,0.178082192,0.01369863,0,GLondon,2.3,0.273913043,0.176923077,0.388888889,0.273913043,1,117,0.857179182,0.2,0.624657534,0.167123288,0.008219178,0,0.083333333
47,21,f,1,high,white,white,19.21875,1150.33375,181.0017091,544.2795,304.0348522,0.093150685,0.290410959,0.295890411,0.243835616,0.076712329,GLondon,2.6,0.430434783,0.269230769,0.455555556,0.430434783,1,77,0.108590793,0.095890411,0.260273973,0.347945205,0.21369863,0.082191781,0.083333333
48,41,m,4,medium,white,white,29.23297589,3094.498,1822.998334,250.9,104.6158688,0.295890411,0.698630137,0.005479452,0,0,GLondon,1.6,0.326086957,0.192307692,0.233333333,0.326086957,1,148,0.933039914,0.287671233,0.693150685,0.019178082,0,0,0.416666667
49,31,f,1,high,white,white,33.24169586,1246.37855,192.0662651,243.0075,85.45191099,0.317808219,0.679452055,0.002739726,0,0,GLondon,4,0.534782609,0.5,0.766666667,0.534782609,1,46,0.214788796,0.317808219,0.676712329,0.005479452,0,0,0.25
50,32,m,2,high,white,white,25.05564829,2230.3852,677.8762888,1066.497,805.2012517,0.054794521,0.093150685,0.115068493,0.134246575,0.602739726,GLondon,4.3,0.517391304,0.269230769,0.833333333,0.517391304,1,89,0.799844513,0.076712329,0.145205479,0.087671233,0.142465753,0.547945205,0
51,48,m,8,low,white,white,29.78232069,1107.1529,179.4013537,326.675,79.05520835,0.043835616,0.939726027,0.016438356,0,0,GLondon,3.1,0.673913043,0.315384615,0.566666667,0.673913043,1,120,0.966220329,0.043835616,0.939726027,0.016438356,0,0,0.416666667
52,18,f,2,high,white,white,23.98561416,816.069,593.675392,715.57,89.65342529,0.079452055,0.342465753,0.394520548,0.15890411,0.024657534,GLondon,3.3,0.482608696,0.423076923,0.611111111,0.482608696,1,124,0.14819439,0,0.002739726,0.583561644,0.410958904,0.002739726,0
53,38,f,1,high,white,white,28.72242647,1136.7555,347.3058268,272.3833333,125.1999634,0.246575342,0.712328767,0.04109589,0,0,GLondon,2.8,0.62173913,0.407692308,0.5,0.62173913,1,93,0.043887527,0.268493151,0.701369863,0.030136986,0,0,0.166666667
54,32,f,3,medium,white,white,20.81731745,1199.85725,228.1891162,397.1425,273.1660724,0.15890411,0.432876712,0.276712329,0.112328767,0.019178082,GLondon,3.6,0.447826087,0.438461538,0.677777778,0.447826087,1,97,0.317489615,0.17260274,0.449315068,0.282191781,0.076712329,0.019178082,0.333333333
55,38,m,4,medium,white,white,28.78923338,1898.0557,542.9947147,557.37375,331.3572928,0.090410959,0.287671233,0.298630137,0.230136986,0.093150685,GLondon,2.7,0.691304348,0.315384615,0.477777778,0.691304348,1,170,0.720342823,0.082191781,0.347945205,0.293150685,0.202739726,0.073972603,0
56,25,m,3,medium,white,white,25.02910488,1783.04175,299.6775484,110.35,117.1154843,0.780821918,0.219178082,0,0,0,GLondon,2.5,0.534782609,0.1,0.433333333,0.534782609,1,80,0.538628281,0.712328767,0.287671233,0,0,0,0
57,24,f,2,high,white,white,22.92172605,1393.797188,395.253606,1567.65,1555.564208,0.043835616,0.04109589,0.054794521,0.060273973,0.8,GLondon,3.2,0.465217391,0.484615385,0.588888889,0.465217391,1,86,0.136148767,0.057534247,0.057534247,0.065753425,0.079452055,0.739726027,0
58,17,f,1,high,white,white,22.10823264,1507.4711,560.5251916,152.2729,74.3406653,0.753424658,0.246575342,0,0,0,GLondon,3.5,0.5,0.1,0.655555556,0.5,1,51,0.321607527,0.753424658,0.246575342,0,0,0,0
59,79,f,5,medium,white,white,22.76963037,694.9485,122.180159,402.47875,249.8334161,0.161643836,0.484931507,0.260273973,0.087671233,0.005479452,GLondon,2.5,0.604347826,0.269230769,0.433333333,0.604347826,1,125,0.227702192,0.139726027,0.443835616,0.306849315,0.093150685,0.016438356,0
60,16,f,1,high,white,white,23.07999666,1325.59325,141.1755041,58.25125,27.7025,1,0,0,0,0,GLondon,2.3,0.360869565,0.223076923,0.388888889,0.360869565,1,45,0.195826284,1,0,0,0,0,0.416666667
61,16,f,7,low,asian,asian,20.99164385,1589.592,582.7759646,499.3725,221.5964869,0.073972603,0.4,0.4,0.115068493,0.010958904,GLondon,2.5,0.430434783,0.223076923,0.433333333,0.430434783,1,78,0.052921926,0.054794521,0.435616438,0.389041096,0.109589041,0.010958904,0
62,32,m,4,medium,white,white,31.62877201,2426.5395,632.6553278,816.3755,516.0086273,0.079452055,0.178082192,0.169863014,0.18630137,0.38630137,GLondon,3,0.291304348,0.376923077,0.544444444,0.291304348,1,54,0.916425625,0.065753425,0.180821918,0.194520548,0.221917808,0.336986301,0.083333333
63,23,f,7,low,white,white,28.54788761,1502.058125,684.5875384,189.52575,113.6480065,0.517808219,0.473972603,0.008219178,0,0,GLondon,2.8,0.552173913,0.161538462,0.5,0.552173913,1,193,0.319969823,0.517808219,0.476712329,0.005479452,0,0,0.083333333
64,60,f,5,medium,white,white,26.13587021,1515.518875,306.1813676,376.08875,106.1816551,0.057534247,0.835616438,0.106849315,0,0,GLondon,2.5,0.552173913,0.330769231,0.433333333,0.552173913,1,51,0.204115802,0.049315068,0.832876712,0.117808219,0,0,0
65,32,m,2,high,white,white,30.16157486,1542.779,415.3021583,403.725,156.0142381,0.076712329,0.643835616,0.265753425,0.01369863,0,GLondon,3.9,0.482608696,0.469230769,0.744444444,0.482608696,1,37,0.999989877,0.084931507,0.646575342,0.257534247,0.010958904,0,0
66,28,f,2,high,white,white,22.81487314,1606.1926,405.8267311,401.3375,450.7386038,0.15890411,0.336986301,0.22739726,0.150684932,0.126027397,GLondon,2.5,0.760869565,0.407692308,0.433333333,0.760869565,1,32,0.22669532,0.161643836,0.312328767,0.249315068,0.178082192,0.098630137,0.333333333
67,30,f,8,low,white,white,26.92069694,796.24215,180.8147404,88.8,0,1,0,0,0,0,GLondon,2.8,0.830434783,0.515384615,0.5,0.830434783,1,80,0.023905818,1,0,0,0,0,0.083333333
68,17,f,1,high,white,white,23.4276888,1023.2775,251.4819423,219.915,190.6424425,0.375342466,0.536986301,0.087671233,0,0,GLondon,2.7,0.569565217,0.392307692,0.477777778,0.569565217,1,93,0.2216331,0.421917808,0.487671233,0.082191781,0.008219178,0,0
69,79,m,8,low,white,white,25.46583018,2021.4194,121.3727778,111.6225,86.2480378,0.819178082,0.180821918,0,0,0,GLondon,1,0.273913043,0.1,0.1,0.273913043,1,52,0.950503954,0.846575342,0.153424658,0,0,0,0
70,54,m,4,medium,white,white,32.15915455,899.0304,232.4155708,131.34,52.71860899,0.890410959,0.109589041,0,0,0,GLondon,2.4,0.5,0.130769231,0.411111111,0.5,1,42,0.995749468,0.879452055,0.120547945,0,0,0,0
71,17,f,2,high,other,mixed/other,19.26516341,1537.795556,715.8125164,465.58,285.0822019,0.139726027,0.405479452,0.295890411,0.131506849,0.02739726,GLondon,3.6,0.308695652,0.453846154,0.677777778,0.308695652,1,102,0.193371152,0.150684932,0.394520548,0.260273973,0.167123288,0.02739726,0.833333333
72,18,f,1,high,white,white,34.88712407,712.115275,296.9402368,371.9075,380.7497225,0.183561644,0.320547945,0.309589041,0.123287671,0.063013699,GLondon,2.6,0.62173913,0.376923077,0.455555556,0.62173913,1,183,0.169010444,0.210958904,0.383561644,0.189041096,0.131506849,0.084931507,0
73,36,m,l15,low,white,white,26.6239421,1389.09875,166.722835,202.5125,247.9472873,0.334246575,0.512328767,0.134246575,0.019178082,0,GLondon,3,0.360869565,0.130769231,0.544444444,0.360869565,1,169,0.916761018,0.432876712,0.457534247,0.095890411,0.01369863,0,0
74,18,f,2,high,mixed,mixed/other,16.7103747,886.5824,160.455205,293.12,208.57083,0.153424658,0.643835616,0.194520548,0.008219178,0,GLondon,2.3,0.465217391,0.115384615,0.388888889,0.465217391,1,161,0.353686458,0.254794521,0.545205479,0.197260274,0.002739726,0,0
75,16,f,7,low,white,white,31.31347742,1217.738,533.0174398,328.3025,200.0659977,0.22739726,0.569863014,0.178082192,0.024657534,0,GLondon,2.9,0.552173913,0.484615385,0.522222222,0.552173913,1,145,0.412992411,0.219178082,0.567123288,0.194520548,0.019178082,0,0
76,17,m,5,medium,white,white,23.59882006,1290.495775,302.080268,792.572575,398.3875247,0.038356164,0.153424658,0.21369863,0.260273973,0.334246575,GLondon,2.8,0.482608696,0.130769231,0.5,0.482608696,1,153,0.803851548,0.049315068,0.164383562,0.243835616,0.24109589,0.301369863,0.166666667
77,17,f,1,high,white,white,23.80009939,873.6224,172.5422871,430.145,308.1316732,0.109589041,0.419178082,0.284931507,0.139726027,0.046575342,GLondon,2.8,0.430434783,0.3,0.5,0.430434783,1,112,0.336173956,0.17260274,0.394520548,0.276712329,0.134246575,0.021917808,0.833333333
78,34,f,3,medium,other,mixed/other,22.40973684,1744.480056,470.7484504,176.14,128.4114117,0.542465753,0.454794521,0.002739726,0,0,GLondon,2.1,0.291304348,0.238461538,0.344444444,0.291304348,1,110,0.220743439,0.561643836,0.430136986,0.008219178,0,0,0.166666667
79,90,m,3,medium,white,white,27.39058483,1323.15125,249.6387507,229.8075,147.8761809,0.41369863,0.545205479,0.04109589,0,0,GLondon,2.7,0.534782609,0.1,0.477777778,0.534782609,1,111,0.871393009,0.397260274,0.556164384,0.046575342,0,0,0
80,30,m,3,medium,white,white,29.72016339,1436.10695,546.5192474,411.8015,302.4908552,0.175342466,0.449315068,0.232876712,0.117808219,0.024657534,GLondon,2.5,0.37826087,0.130769231,0.433333333,0.37826087,1,150,0.980324723,0.183561644,0.416438356,0.287671233,0.082191781,0.030136986,0.083333333
81,30,m,8,low,white,white,20.31955958,2322.301525,722.8156098,296.1025,278.5362502,0.263013699,0.44109589,0.232876712,0.057534247,0.005479452,GLondon,2.8,0.395652174,0.1,0.5,0.395652174,1,81,0.84681653,0.265753425,0.468493151,0.232876712,0.032876712,0,0.166666667
82,16,f,2,high,white,white,23.36240655,1340.66475,586.2414704,225.9175,128.4350228,0.526027397,0.471232877,0.002739726,0,0,GLondon,3.6,0.673913043,0.730769231,0.677777778,0.673913043,1,175,0.331613574,0.378082192,0.605479452,0.016438356,0,0,0.833333333
83,57,m,6,medium,white,white,30.3345405,1873.2225,605.9592792,453.3833333,116.5510653,0.032876712,0.594520548,0.369863014,0.002739726,0,GLondon,2.5,0.534782609,0.146153846,0.433333333,0.534782609,1,36,0.998847955,0.024657534,0.660273973,0.309589041,0.005479452,0,0.25
84,17,f,2,high,other,mixed/other,19.26516341,1537.795556,715.8125164,465.58,285.0822019,0.139726027,0.405479452,0.295890411,0.131506849,0.02739726,GLondon,2.9,0.308695652,0.115384615,0.522222222,0.308695652,1,94,0.494568944,0.123287671,0.402739726,0.306849315,0.139726027,0.02739726,0.833333333
85,34,f,3,medium,other,mixed/other,22.40973684,1744.480056,470.7484504,176.14,128.4114117,0.542465753,0.454794521,0.002739726,0,0,GLondon,3.9,0.37826087,0.407692308,0.744444444,0.37826087,1,120,0.330407531,0.520547945,0.479452055,0,0,0,0.166666667
86,57,f,2,high,white,white,27.22619106,980.3854333,24.86298653,293.5493333,88.7026978,0.139726027,0.846575342,0.01369863,0,0,GLondon,2.7,0.447826087,0.438461538,0.477777778,0.447826087,1,60,0.075664648,0.112328767,0.871232877,0.016438356,0,0,0
87,67,m,1,high,mixed,mixed/other,28.24706247,1921.998825,489.3187712,318.4475,209.2449527,0.24109589,0.539726027,0.202739726,0.016438356,0,GLondon,3.4,0.586956522,0.3,0.633333333,0.586956522,1,37,0.535585599,0.221917808,0.58630137,0.167123288,0.024657534,0,0
88,30,f,2,high,white,white,23.21420118,1164.745375,288.1487909,218.675,79.8576039,0.435616438,0.564383562,0,0,0,GLondon,3.1,0.534782609,0.407692308,0.566666667,0.534782609,1,57,0.108162721,0.397260274,0.602739726,0,0,0,0.333333333
