"ID","age","Sex","nssec8","SES","ethgrp5","eth_new","bmival","TotalKcal_M_0","TotalKcal_SD_0","TotalKcal_M_1","TotalKcal_SD_1","desire_0.200","desire_201.500","desire_501.750","desire_751.1000","desire_1001.","location","external","restraint","emotional","automaticity","pbc","microsim.init.eatingstatus","habit.update.interval","autonomy","history_0.200","history_201.500","history_501.750","history_751.1000","history_1001.","PD"
1,17,"m","1","high","mixed","mixed/other",19.4491644714352,1017.05,391.045781633472,184.864,116.480285851298,0.613698630136986,0.386301369863014,0,0,0,"GLondon",2.4,0.308695652173913,0.1,0.411111111111111,0.308695652173913,1,109,0.921087052524156,0.53972602739726,0.452054794520548,0.00821917808219178,0,0,0.0833333333333333
2,16,"f","1","high","white","white",21.4367709934764,1619.910025,325.646185112312,292.99805,179.4652026684,0.252054794520548,0.619178082191781,0.120547945205479,0.00821917808219178,0,"GLondon",3.9,0.778260869565217,0.407692307692308,0.744444444444444,0.778260869565217,1,112,0.0241810849124306,0.276712328767123,0.575342465753425,0.142465753424658,0.00547945205479452,0,0
3,18,"f","2","high","mixed","mixed/other",16.710374700105,886.5824,160.455205043983,293.12,208.570830015449,0.153424657534247,0.643835616438356,0.194520547945205,0.00821917808219178,0,"GLondon",3.3,0.552173913043478,0.453846153846154,0.611111111111111,0.552173913043478,1,109,0.427298829449281,0.263013698630137,0.553424657534247,0.172602739726027,0.010958904109589,0,0
4,17,"m","5","medium","white","white",23.598820058997,1290.495775,302.08026800847,792.572575,398.387524651382,0.0383561643835616,0.153424657534247,0.213698630136986,0.26027397260274,0.334246575342466,"GLondon",2.3,0.447826086956522,0.192307692307692,0.388888888888889,0.447826086956522,1,72,0.71437694730787,0.0493150684931507,0.147945205479452,0.205479452054795,0.257534246575342,0.33972602739726,0.166666666666667
5,19,"f","1","high","white","white",24.7243854188105,1173.246,181.210709402066,800.6235,510.920939946355,0.0657534246575342,0.186301369863014,0.158904109589041,0.221917808219178,0.367123287671233,"GLondon",2.6,0.639130434782609,0.176923076923076,0.455555555555556,0.639130434782609,1,104,0.421772401374315,0.0520547945205479,0.167123287671233,0.194520547945205,0.208219178082192,0.378082191780822,0.166666666666667
6,57,"m","7","low","white","white",26.3752582644628,1519.62065,148.956268593022,421.6225,218.742602979697,0.126027397260274,0.523287671232877,0.265753424657534,0.0821917808219178,0.00273972602739726,"GLondon",2.4,0.534782608695652,0.238461538461538,0.411111111111111,0.534782608695652,1,195,0.63345947745555,0.153424657534247,0.449315068493151,0.328767123287671,0.0575342465753425,0.010958904109589,0.0833333333333333
7,77,"m","l15","low","white","white",22.8839913466739,1699.9103,212.738468717672,659.2775,423.42437745718,0.101369863013699,0.219178082191781,0.224657534246575,0.249315068493151,0.205479452054795,"GLondon",2.2,0.308695652173913,0.1,0.366666666666667,0.308695652173913,1,135,0.939540410095649,0.104109589041096,0.227397260273973,0.246575342465753,0.221917808219178,0.2,0.166666666666667
8,65,"m","4","medium","white","white",25.6293547144708,1374.189625,192.949924950497,148.045,76.0706415116896,0.747945205479452,0.252054794520548,0,0,0,"GLondon",2.3,0.517391304347826,0.1,0.388888888888889,0.517391304347826,1,94,0.3924401154553,0.767123287671233,0.232876712328767,0,0,0,0.583333333333333
9,22,"f","2","high","white","white",19.6751386601264,1014.721125,323.457412609031,530.8075,230.866910776895,0.0767123287671233,0.391780821917808,0.364383561643836,0.147945205479452,0.0191780821917808,"GLondon",2,0.482608695652174,0.33076923076923,0.322222222222222,0.482608695652174,1,79,0.153200421233988,0.0493150684931507,0.356164383561644,0.413698630136986,0.147945205479452,0.0328767123287671,0.0833333333333333
10,39,"m","3","medium","white","white",21.529538958761,1398.8958,432.957942990494,955.5225,137.094057098281,0,0,0.0794520547945206,0.561643835616438,0.358904109589041,"GLondon",3.4,0.291304347826087,0.346153846153846,0.633333333333333,0.291304347826087,1,108,0.884715996629591,0,0,0.0684931506849315,0.561643835616438,0.36986301369863,0.25
11,30,"m","8","low","white","white",20.3195595823737,2322.301525,722.815609821506,296.1025,278.536250229062,0.263013698630137,0.441095890410959,0.232876712328767,0.0575342465753425,0.00547945205479452,"GLondon",2.9,0.447826086956522,0.26923076923077,0.522222222222222,0.447826086956522,1,39,0.681954747558817,0.224657534246575,0.471232876712329,0.227397260273973,0.0657534246575342,0.010958904109589,0.166666666666667
12,23,"f","1","high","white","white",19.9118160741313,1819.7055,596.133949650859,757.885,506.243866695357,0.0821917808219178,0.194520547945205,0.210958904109589,0.186301369863014,0.326027397260274,"GLondon",3.7,0.378260869565217,0.5,0.7,0.378260869565217,1,129,0.602697406228719,0.063013698630137,0.158904109589041,0.210958904109589,0.178082191780822,0.389041095890411,0
13,25,"m","l15","low","white","white",28.0298777996299,866.4902,192.310450494957,375.2295,277.994054187615,0.189041095890411,0.479452054794521,0.232876712328767,0.0876712328767123,0.010958904109589,"GLondon",2.7,0.482608695652174,0.13076923076923,0.477777777777778,0.482608695652174,1,141,0.850378077659015,0.232876712328767,0.438356164383562,0.235616438356164,0.073972602739726,0.0191780821917808,0
14,39,"f","4","medium","white","white",35.422810197585,1235.10065,173.088564615411,293.073333333333,171.785104515302,0.227397260273973,0.665753424657534,0.104109589041096,0.00273972602739726,0,"GLondon",2.4,0.58695652173913,0.66923076923077,0.411111111111111,0.58695652173913,1,162,0.465991191319102,0.254794520547945,0.643835616438356,0.0958904109589041,0.00547945205479452,0,0
15,66,"m","4","medium","white","white",31.8472434598069,2177.68825,110.282960945545,512.2412,235.985928676549,0.0657534246575342,0.432876712328767,0.301369863013699,0.186301369863014,0.0136986301369863,"GLondon",1.4,0.569565217391304,0.161538461538462,0.188888888888889,0.569565217391304,1,58,0.795878188715881,0.0821917808219178,0.394520547945205,0.347945205479452,0.150684931506849,0.0246575342465753,0
16,47,"f","2","high","white","white",25.6570613043408,1615.2055,393.96116232991,397.745,153.411373519045,0.0876712328767123,0.657534246575342,0.243835616438356,0.010958904109589,0,"GLondon",2,0.41304347826087,0.546153846153846,0.322222222222222,0.41304347826087,1,96,0.517868679339931,0.0931506849315069,0.597260273972603,0.29041095890411,0.0191780821917808,0,0.5
17,36,"f","4","medium","white","white",27.7287335507747,917.104775,457.972941780628,243.175,73.433039226223,0.293150684931507,0.706849315068493,0,0,0,"GLondon",2.8,0.447826086956522,0.284615384615384,0.5,0.447826086956522,1,62,0.348093251576749,0.257534246575342,0.742465753424657,0,0,0,0
