"ID","age","Sex","nssec8","SES","ethgrp5","eth_new","bmival","TotalKcal_M_0","TotalKcal_SD_0","TotalKcal_M_1","TotalKcal_SD_1","desire_0.200","desire_201.500","desire_501.750","desire_751.1000","desire_1001.","location","external","restraint","emotional","automaticity","pbc","microsim.init.eatingstatus","habit.update.interval","autonomy","history_0.200","history_201.500","history_501.750","history_751.1000","history_1001.","PD"
1,16,"f","2","high","white","white",18.2898948331047,1105.7772,368.070934618895,745.96,343.666103555956,0.117808219178082,0.334246575342466,0.295890410958904,0.175342465753425,0.0767123287671233,"GLondon",2.9,0.270212765957447,0.526666666666667,0.522222222222222,0.270212765957447,1,134,0.225551400600594,0.0273972602739726,0.189041095890411,0.29041095890411,0.252054794520548,0.241095890410959,0
2,17,"f","1","high","white","white",22.2767698054297,1538.864725,608.253458021108,268.95,216.66799209851,0.276712328767123,0.591780821917808,0.115068493150685,0.0164383561643836,0,"GLondon",3,0.406382978723404,0.505333333333333,0.544444444444445,0.406382978723404,1,108,0.174956653000281,0.257534246575342,0.567123287671233,0.167123287671233,0.00821917808219178,0,0.25
3,23,"f","1","high","white","white",19.9118160741313,1819.7055,596.133949650859,757.885,506.243866695357,0.063013698630137,0.183561643835616,0.175342465753425,0.227397260273973,0.350684931506849,"GLondon",3.4,0.338297872340426,0.409333333333333,0.633333333333333,0.338297872340426,1,60,0.0779735456299175,0.063013698630137,0.156164383561644,0.224657534246575,0.208219178082192,0.347945205479452,0.25
4,68,"f","5","medium","white","white",26.0303915120699,1072.719,175.387750438849,371.2925,321.896237150524,0.164383561643836,0.424657534246575,0.271232876712329,0.10958904109589,0.0301369863013699,"GLondon",2.4,0.406382978723404,0.388,0.411111111111111,0.406382978723404,1,122,0.408641525019311,0.197260273972603,0.432876712328767,0.263013698630137,0.0849315068493151,0.0219178082191781,0.0833333333333333
5,50,"m","l15","low","other","mixed/other",27.423179015626,1978.9825,450.847260596831,237.381333333333,92.6730503724429,0.353424657534247,0.646575342465753,0,0,0,"GLondon",2.4,0.219148936170213,0.388,0.411111111111111,0.219148936170213,1,55,0.871990912565628,0.293150684931507,0.706849315068493,0,0,0,0
6,38,"m","l15","low","white","white",33.9809351366299,1672.841,332.403588048224,305.55,118.148846799281,0.205479452054795,0.736986301369863,0.0575342465753425,0,0,"GLondon",2.1,0.440425531914894,0.505333333333333,0.344444444444444,0.440425531914894,1,97,0.867246217861123,0.16986301369863,0.772602739726027,0.0575342465753425,0,0,0
7,34,"m","2","high","white","white",30.704420440051,1569.1244,324.997516546778,52.3666666666667,40.7286549413718,0.53972602739726,0.454794520547945,0.00547945205479452,0,0,"GLondon",3.7,0.542553191489362,0.569333333333334,0.7,0.542553191489362,1,120,0.947427177720843,1,0,0,0,0,0
8,35,"f","4","medium","white","white",22.2303462436556,995.8835,264.605388542385,334.98705,91.389195785224,0.0767123287671233,0.876712328767123,0.0465753424657534,0,0,"GLondon",2.8,0.525531914893617,0.462666666666667,0.5,0.525531914893617,1,87,0.352174921203385,0.106849315068493,0.843835616438356,0.0493150684931507,0,0,0
9,46,"m","4","medium","white","white",27.6739611028675,1152.83502475,254.405688567725,108.35,37.7226280455997,0.989041095890411,0.010958904109589,0,0,0,"GLondon",1.9,0.61063829787234,0.484,0.3,0.61063829787234,1,65,0.849943110187339,0.997260273972603,0.00273972602739726,0,0,0,0.666666666666667
10,70,"m","4","medium","white","white",25.5158757503618,1668.4676,277.846114620737,530.2447,348.864435447868,0.0876712328767123,0.306849315068493,0.301369863013699,0.202739726027397,0.101369863013699,"GLondon",3.1,0.406382978723404,0.537333333333333,0.566666666666667,0.406382978723404,1,110,0.929961053521779,0.13972602739726,0.306849315068493,0.284931506849315,0.172602739726027,0.0958904109589041,0
11,74,"f","4","medium","white","white",27.4076572777871,1123.62735,95.068950759944,270.5745,169.221805099107,0.276712328767123,0.638356164383562,0.0794520547945206,0.00547945205479452,0,"GLondon",1.5,0.321276595744681,0.377333333333333,0.211111111111111,0.321276595744681,1,70,0.331981853173205,0.317808219178082,0.580821917808219,0.101369863013699,0,0,0.75
12,16,"f","2","high","white","white",20.7813717962538,1148.0925,372.430648879761,720.1305,530.314963935899,0.073972602739726,0.191780821917808,0.221917808219178,0.180821917808219,0.331506849315069,"GLondon",3.3,0.321276595744681,0.622666666666667,0.611111111111111,0.321276595744681,1,141,0.246463661935369,0.0575342465753425,0.2,0.221917808219178,0.210958904109589,0.30958904109589,0
13,34,"f","3","medium","other","mixed/other",22.4097368367997,1744.48005625,470.748450416165,176.14,128.411411746257,0.515068493150685,0.479452054794521,0.00547945205479452,0,0,"GLondon",2.2,0.304255319148936,0.398666666666666,0.366666666666667,0.304255319148936,1,59,0.144708041946556,0.591780821917808,0.408219178082192,0,0,0,0.0833333333333333
14,16,"f","1","high","white","white",23.0799966555197,1325.59325,141.175504101278,58.25125,27.7025,1,0,0,0,0,"GLondon",3.2,0.423404255319149,0.377333333333333,0.588888888888889,0.423404255319149,1,38,0.188408010000559,1,0,0,0,0,0
15,33,"m","6","medium","white","white",22.47139619955,1065.43925,108.362657243705,469,277.293226266588,0.0876712328767123,0.410958904109589,0.334246575342466,0.128767123287671,0.0383561643835616,"GLondon",2.6,0.372340425531915,0.366666666666666,0.455555555555556,0.372340425531915,1,135,0.936480017824076,0.106849315068493,0.424657534246575,0.293150684931507,0.153424657534247,0.0219178082191781,0
16,16,"f","2","high","white","white",21.0794411605932,1950.8375105,496.693487187005,551.77,86.8659999309281,0,0.29041095890411,0.701369863013699,0.00821917808219178,0,"GLondon",1.8,0.338297872340426,0.388,0.277777777777778,0.338297872340426,1,89,0.223720773647353,0,0.287671232876712,0.701369863013699,0.010958904109589,0,0
17,16,"f","1","high","white","white",20.2382569593266,1003.96225,317.061631969112,344.839375,77.9367821906266,0.0410958904109589,0.923287671232877,0.0356164383561644,0,0,"GLondon",2.8,0.576595744680851,0.590666666666667,0.5,0.576595744680851,1,80,0.0255124237290421,0.0328767123287671,0.942465753424658,0.0246575342465753,0,0,0.0833333333333333
18,38,"f","5","medium","white","white",26.986137911298,1185.809075,222.263424735296,187.3607,23.3193916940387,0.693150684931507,0.306849315068493,0,0,0,"GLondon",2.7,0.508510638297872,0.430666666666667,0.477777777777778,0.508510638297872,1,46,0.15537982771754,0.698630136986301,0.301369863013699,0,0,0,0.5
19,50,"m","l15","low","other","mixed/other",27.423179015626,1978.9825,450.847260596831,237.381333333333,92.6730503724429,0.353424657534247,0.646575342465753,0,0,0,"GLondon",2.5,0.508510638297872,0.345333333333333,0.433333333333333,0.508510638297872,1,161,0.981137987567869,0.356164383561644,0.643835616438356,0,0,0,0
20,36,"f","1","high","white","white",23.1987141918412,1491.4810875,439.466868706122,585.4922875,235.078130441982,0.0520547945205479,0.312328767123288,0.358904109589041,0.219178082191781,0.0575342465753425,"GLondon",2.7,0.35531914893617,0.441333333333333,0.477777777777778,0.35531914893617,1,123,0.133861171966061,0.0356164383561644,0.306849315068493,0.427397260273973,0.197260273972603,0.0328767123287671,0.0833333333333333
21,17,"f","1","high","white","white",23.4276888040165,1023.2775,251.481942310643,219.915,190.642442546249,0.394520547945205,0.531506849315069,0.0712328767123288,0.00273972602739726,0,"GLondon",2.8,0.559574468085106,0.452,0.5,0.559574468085106,1,86,0.276702019815381,0.4,0.53972602739726,0.0575342465753425,0.00273972602739726,0,0.0833333333333333
22,19,"f","1","high","white","white",24.7243854188105,1173.246,181.210709402066,800.6235,510.920939946355,0.0684931506849315,0.153424657534247,0.153424657534247,0.210958904109589,0.413698630136986,"GLondon",3.5,0.712765957446808,0.505333333333333,0.655555555555556,0.712765957446808,1,79,0.0736674960931734,0.0821917808219178,0.164383561643836,0.153424657534247,0.216438356164384,0.383561643835616,0.333333333333333
23,79,"m","8","low","white","white",25.4658301844295,2021.4194,121.372777769317,111.6225,86.2480378037669,0.835616438356164,0.164383561643836,0,0,0,"GLondon",1.1,0.440425531914894,0.356,0.122222222222222,0.440425531914894,1,117,0.819700772679195,0.835616438356164,0.164383561643836,0,0,0,0.416666666666667
