"agecat","Sex","SES","0-200","201-500","501-750","750-1000","1001+"
"16-34","f","low",0.12,0.37,0.23,0.14,0.14
"16-34","f","medium",0.09,0.34,0.26,0.16,0.15
"16-34","f","high",0.08,0.36,0.27,0.16,0.14
"16-34","m","low",0.06,0.25,0.22,0.15,0.32
"16-34","m","medium",0.05,0.27,0.26,0.16,0.26
"16-34","m","high",0.04,0.22,0.23,0.2,0.31
"35-44","f","low",0.11,0.33,0.29,0.2,0.07
"35-44","f","medium",0.12,0.4,0.25,0.13,0.1
"35-44","f","high",0.11,0.4,0.26,0.12,0.11
"35-44","m","low",0.08,0.32,0.25,0.16,0.19
"35-44","m","medium",0.08,0.28,0.22,0.16,0.26
"35-44","m","high",0.08,0.35,0.28,0.17,0.13
"45-64","f","low",0.18,0.42,0.26,0.12,0.02
"45-64","f","medium",0.13,0.45,0.26,0.11,0.04
"45-64","f","high",0.13,0.43,0.24,0.11,0.09
"45-64","m","low",0.15,0.4,0.21,0.15,0.09
"45-64","m","medium",0.12,0.38,0.27,0.14,0.09
"45-64","m","high",0.11,0.34,0.22,0.13,0.2
"65+","f","low",0.14,0.48,0.24,0.09,0.05
"65+","f","medium",0.13,0.48,0.24,0.1,0.04
"65+","f","high",0.13,0.49,0.25,0.09,0.04
"65+","m","low",0.1,0.31,0.28,0.17,0.14
"65+","m","medium",0.1,0.38,0.26,0.12,0.14
"65+","m","high",0.07,0.32,0.27,0.17,0.18
