"agecat","Sex","SES","0-200","201-500","501-750","750-1000","1001+"
"16-34","f","low",0.12,0.36,0.21,0.14,0.18
"16-34","f","medium",0.09,0.34,0.26,0.17,0.15
"16-34","f","high",0.08,0.35,0.27,0.15,0.14
"16-34","m","low",0.06,0.24,0.2,0.16,0.35
"16-34","m","medium",0.06,0.27,0.26,0.15,0.26
"16-34","m","high",0.05,0.24,0.23,0.2,0.29
"35-44","f","low",0.12,0.34,0.28,0.18,0.08
"35-44","f","medium",0.11,0.39,0.26,0.14,0.09
"35-44","f","high",0.12,0.4,0.26,0.12,0.1
"35-44","m","low",0.08,0.33,0.27,0.15,0.17
"35-44","m","medium",0.08,0.29,0.22,0.16,0.24
"35-44","m","high",0.07,0.35,0.27,0.17,0.14
"45-64","f","low",0.17,0.41,0.29,0.08,0.05
"45-64","f","medium",0.12,0.47,0.26,0.12,0.03
"45-64","f","high",0.14,0.43,0.23,0.11,0.08
"45-64","m","low",0.12,0.34,0.21,0.16,0.17
"45-64","m","medium",0.11,0.35,0.26,0.17,0.11
"45-64","m","high",0.11,0.35,0.22,0.13,0.2
"65+","f","low",0.15,0.49,0.22,0.1,0.03
"65+","f","medium",0.13,0.47,0.25,0.1,0.04
"65+","f","high",0.13,0.48,0.25,0.1,0.05
"65+","m","low",0.1,0.35,0.26,0.17,0.12
"65+","m","medium",0.1,0.39,0.27,0.12,0.13
"65+","m","high",0.08,0.32,0.27,0.15,0.17
